reviewId,text
ChZDSUhNMG9nS0VJQ0FnSUMwNjh5N1JREAE,I like the idea but it downt taste very good.
ChdDSUhNMG9nS0VJQ0FnSUMwb09fZTNnRRAB,
ChZDSUhNMG9nS0VJQ0FnSUNVMksyYVZREAE,Outstanding prices for healthy food!
ChdDSUhNMG9nS0VJQ0FnSUQ0eE1qeXdBRRAB,
ChdDSUhNMG9nS0VJQ0FnSUM0azczU2xnRRAB,
ChdDSUhNMG9nS0VJQ0FnSUM0anVmX3hBRRAB,
ChdDSUhNMG9nS0VJQ0FnSUNZMnZ5Xy1BRRAB,
ChdDSUhNMG9nS0VJQ0FnSURvOXVxTDhRRRAB,"It wasn't as bad as I was expecting; I'm not super into health foods. It's a little pricey, but not bad."
ChdDSUhNMG9nS0VJQ0FnSUNvaXVxZXJBRRAB,
ChdDSUhNMG9nS0VJQ0FnSUNvd04yYm5nRRAB,"I have a great experience every time I come here (Which is usually a couple of times a week). The staff is always super friendly, and welcomes you right when you walk in.

I have tried most, if not all of the options, and for the most part are pretty good. Some of the options are little more bland/lacking in comparison to the others though. My personal favorite is the Salmon Alfredo.

I think that the pricing is fair. For right around the same amount that you would spend at a fast food place, you could get a healthy option here instead."
ChdDSUhNMG9nS0VJQ0FnSUN3azdQY3N3RRAB,Food is great! Prices are good.
ChZDSUhNMG9nS0VJQ0FnSURRbGM3SklREAE,"Awesome place to eat, I try to go for lunch whenever I have time. The food is amazing and the staff is very friendly and helpful."
ChdDSUhNMG9nS0VJQ0FnSUNnMnZ6eTR3RRAB,
ChZDSUhNMG9nS0VJQ0FnSURRajhDMUdBEAE,"Been to multiple locations, including downtown, but the store was closed. The hours on the website and hours of the stores don't match. The store on 135th st in Millard was closed and seems like its going out of business. I managed to find an open location one time and the food was dry."
ChZDSUhNMG9nS0VJQ0FnSUN3dGZMY1Z3EAE,We put in an order for food and unfortunately the online order did not take. We showed up to the place and the staff had no idea we placed an order. Luckily we showed them the order receipt and they had what we ordered in stock and everything was OK. The food was healthy as advertised but was pretty bland.
ChZDSUhNMG9nS0VJQ0FnSUNndXVYQ2NBEAE,Great food and wonderful customer service!  A must try if you're trying to eat healthy and always on the go!
ChZDSUhNMG9nS0VJQ0FnSUNnMzdQbVlBEAE,
ChZDSUhNMG9nS0VJQ0FnSUNRcDRidlNBEAE,Wish it weren't so pricey but absolutely perfect health food
ChdDSUhNMG9nS0VJQ0FnSURnLWJ1eHpnRRAB,
ChZDSUhNMG9nS0VJQ0FnSURRd2RMMURBEAE,not 4 me
ChZDSUhNMG9nS0VJQ0FnSURncE5EMUJBEAE,
ChZDSUhNMG9nS0VJQ0FnSURRdFpxRlhREAE,
ChdDSUhNMG9nS0VJQ0FnSUNnOWEyTnhBRRAB,
ChZDSUhNMG9nS0VJQ0FnSUNRazQzSll3EAE,"Very clean store! Love the concept. Fresh food ready to go, never frozen. Nutrition information clearly, and proudly, displayed."
ChdDSUhNMG9nS0VJQ0FnSUNBNjZyX3pRRRAB,
ChZDSUhNMG9nS0VJQ0FnSURBdU5yZ09nEAE,Interesting concept. Very healthy options.
ChdDSUhNMG9nS0VJQ0FnSURnajhtV3l3RRAB,"Great customer service and the food is really good. It's a little pricey but you get to eat right, be healthy, and no cooking or tipping."
ChZDSUhNMG9nS0VJQ0FnSURRMnEtc1pBEAE,
ChZDSUhNMG9nS0VJQ0FnSURnMmJiY0lBEAE,Zach and Mia were very helpful.
ChdDSUhNMG9nS0VJQ0FnSUNnaVBxZG5RRRAB,Their food is honestly delicious! I'd pick their salmon over any restaurant in Omaha.
ChZDSUhNMG9nS0VJQ0FnSUN3bDdLNlBREAE,
ChZDSUhNMG9nS0VJQ0FnSURBczRIWll3EAE,
ChZDSUhNMG9nS0VJQ0FnSURReU9yWVhnEAE,
ChZDSUhNMG9nS0VJQ0FnSURndDlUcFBREAE,By far the best customer service!! They know how to treat their customers and make situations right from the get go! Thanks Zach at this location for accommodating me! To the management I appreciate you empowering your employees enough for them to take care of your customers in the situation and not making them wait! I'd highly recommend these guys!
ChZDSUhNMG9nS0VJQ0FnSURBeGFiWlRBEAE,
ChZDSUhNMG9nS0VJQ0FnSURRMm9uaWV3EAE,Awesome idea. Too high of prices
ChZDSUhNMG9nS0VJQ0FnSUNnMjltY0dREAE,the food selection is fantastic and the people are good.
ChdDSUhNMG9nS0VJQ0FnSUNnbExlYTl3RRAB,Everything was great just a little too pricey
ChdDSUhNMG9nS0VJQ0FnSURncElhcTZRRRAB,"It was alright, don't appreciate the terrible judgement walking in from one of the male employee tonight. Kinda disrespectful to be dropping my change and then laughing as your saying sorry. I felt that customer service and explaining things could been better from employees. Felt like they didn't know what they were selling As I asked couple questions and then being handed a menu and being walked away. Food was healthy and good. But customer service lacked. Employees shouldn't be making fun of their customers even if they are right there. Just saying!"
ChZDSUhNMG9nS0VJQ0FnSUNndm9MU1d3EAE,"Great healthy, fresh, and quick food!

Very easy way to track calories during the work week.

Suggestion: Add your choice of hot sauce or something similar"
ChdDSUhNMG9nS0VJQ0FnSUNBanZuOXhBRRAB,This is definitely a healthy food option but you will most likely have to have a microwave handy in order to eat it on the go.  They do have some microwaves on site if you wanted to eat there.  The food is a little pricey for an every day option but they have plans that make it more affordable if that is for you.
ChZDSUhNMG9nS0VJQ0FnSUNncEtUeU53EAE,"Stopped in today for the first time. I can't remember the guy who helped me name was but he was very friendly and helpful. Had sleeves. Great food, awesome people ! Thanks !!"
ChZDSUhNMG9nS0VJQ0FnSURnNTVXSGNnEAE,"I have to be honest, I was not sure what to expect when I first visited.  I have now been twice, and Eat Fit Go is now one of my favorite lunch stops, especially when I don't have much time.  Their salmon lunch is absolutely amazing.  It takes me all but 2 minutes to walk in grab my food and head out.  Then another 2 minutes to microwave it at the office, and it tastes just like it came out of the pan.  And the ingredient list is so simple...I can pronounce everything.  :)  You definitely have a repeat customer here!"
ChdDSUhNMG9nS0VJQ0FnSUNRNkxLMThBRRAB,Great food!! Will definitely go back!!!!
ChdDSUhNMG9nS0VJQ0FnSURRMGRLRm9nRRAB,The food is so good!
