reviewId,text
ChZDSUhNMG9nS0VJQ0FnSUN0bU8zVEZ3EAE,"I’ve been a customer of Clean Slate for two years and love it! I subscribe to the plant-based options and my husband even joined in because the food is healthy, unprocessed, and delicious. It’s a time saving way to be healthy and every person from the owners to the drivers are friendly, helpful, and responsive. Highly recommend!"
ChdDSUhNMG9nS0VJQ0FnSUMxbXU3djdBRRAB,You guys are sleeping on this place! Amazing food and real food  love this place.
ChdDSUhNMG9nS0VJQ0FnSUNsMjZDaDd3RRAB,
ChZDSUhNMG9nS0VJQ0FnSURwNzl2REN3EAE,I can’t say enough good things about the fried Uncrustables. So weirdly satisfying!
ChdDSUhNMG9nS0VJQ0FnSURwczQzaXdRRRAB,"This place is the best! Their meals are always so unique and delicious. You're not just getting a burger and fries every other week. It's a great way to experience cuisines from different cultures and keep things interesting.

My husband and I subscribe and we feel like the price is great for what we get. The delivery process is slick and the low waste is one of my favorite parts!

The fact that they accommodate allergies just really puts them over the top. All my communications with them have received prompt responses!"
ChdDSUhNMG9nS0VJQ0FnSURwM0pEbXFnRRAB,Loved all the vegan options! Love that you can dine in for lunch or take away
ChdDSUhNMG9nS0VJQ0FnSUNKaUpTRWdBRRAB,"Clean slate is amazing! Their food is always hot, fresh, and flavorful. I also really enjoy their Kombucha. The staff is kind and attentive."
ChdDSUhNMG9nS0VJQ0FnSUR4bjg2aTNBRRAB,Clean Slate is the best! Everyone there is very friendly and clearly care about what they make. The cafe is well designed and the food is incredible.
ChdDSUhNMG9nS0VJQ0FnSUR4aGJhZnFRRRAB,"I love Clean Slate! Their employees are so kind and fun! Everything on the menu just always looks so good, so you really can't wrong. The meals are generously portioned and super filling! I really appreciate their commitment to sustainability as well, as containers are compostable."
ChZDSUhNMG9nS0VJQ0FnSUR4LU5LZ1FnEAE,"Breakfast Hash
w/turmeric tofu scramble

Beautiful start of the day ❤️"
ChdDSUhNMG9nS0VJQ0FnSUR4LUpLTDZRRRAB,"Breakfast Hash with egg and bacon. Simple, fresh, delicious. First time here, but highly recommend!"
ChdDSUhNMG9nS0VJQ0FnSUN4aDllMTV3RRAB,"We ordered our food delivered to us at Kros Strain Millworks and the food arrived fast, friendly, and delicious!!!"
ChdDSUhNMG9nS0VJQ0FnSUN4bGViNDNRRRAB,"I have meetings every Monday, and I love stopping by to get breakfast here. Just amazing food!"
ChZDSUhNMG9nS0VJQ0FnSURSOGNiX09REAE,Have been on the meal plan for a couple months and absolutely love it!
ChdDSUhNMG9nS0VJQ0FnSURSZ3BHdnVBRRAB,"Been ordering Clean Slate meals for years, always wanted them to start a restaurant.

This was worth the wait. Their takeout meals are now able to be ordered ala carte AND they have an amazing made to order menu. We ordered the curry, soup, and pork sandwich.

This was the best lunch I have had in Omaha, big portions but I didn’t feel sick/uncomfortable after because the food is so healthy.

15/10 would recommend"
ChdDSUhNMG9nS0VJQ0FnSUNSNFpqU3FnRRAB,"Clean Slate Food Co. has a huge variety of on-menu and meal-to-go food-options. I highly recommend the oyster shell mushroom and chicken curry plate, and their earl grey berry parfait (seriously, absolutely try this last item)."
ChdDSUhNMG9nS0VJQ0FnSUNSb2JqZ2dRRRAB,"This place is absolute gas. Never disappoints. Just order the daily special, everyday."
ChZDSUhNMG9nS0VJQ0FnSUNCeHBLMFlREAE,"Amazing, delicious meals with great portions and an awesome staff!"
